#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","LE13","SAMN07664852","PRJNA407834","GCA_002447455.1","Complete",4.41141,65.6,"chromosome:NZ_CP023602.1/CP023602.1",,1,3997,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/447/455/GCA_002447455.1_ASM244745v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/447/455/GCF_002447455.1_ASM244745v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","SLM040","SAMN07664843","PRJNA407834","GCA_002447275.1","Complete",4.41141,65.6,"chromosome:NZ_CP023593.1/CP023593.1",,1,4001,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/447/275/GCA_002447275.1_ASM244727v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/447/275/GCF_002447275.1_ASM244727v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","GG-134-11","SAMN08199277","PRJNA422870","GCA_002886505.1","Complete",4.4114,65.6,"chromosome:NZ_CP025605.1/CP025605.1",,1,4137,"2018-01-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/886/505/GCA_002886505.1_ASM288650v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/886/505/GCF_002886505.1_ASM288650v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","TBV5365","SAMN07664841","PRJNA407834","GCA_002447235.1","Complete",4.4114,65.6,"chromosome:NZ_CP023591.1/CP023591.1",,1,3999,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/447/235/GCA_002447235.1_ASM244723v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/447/235/GCF_002447235.1_ASM244723v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","SLM100","SAMN07664848","PRJNA407834","GCA_002447375.1","Complete",4.41139,65.6,"chromosome:NZ_CP023598.1/CP023598.1",,1,4001,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/447/375/GCA_002447375.1_ASM244737v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/447/375/GCF_002447375.1_ASM244737v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","LN3589","SAMN07664865","PRJNA407834","GCA_002447715.1","Complete",4.41139,65.6,"chromosome:NZ_CP023615.1/CP023615.1",,1,4004,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/447/715/GCA_002447715.1_ASM244771v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/447/715/GCF_002447715.1_ASM244771v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","LN1100","SAMN07664869","PRJNA407834","GCA_002447795.1","Complete",4.41139,65.6,"chromosome:NZ_CP023619.1/CP023619.1",,1,4006,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/447/795/GCA_002447795.1_ASM244779v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/447/795/GCF_002447795.1_ASM244779v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","SLM088","SAMN07664847","PRJNA407834","GCA_002447355.1","Complete",4.41139,65.6,"chromosome:NZ_CP023597.1/CP023597.1",,1,3998,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/447/355/GCA_002447355.1_ASM244735v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/447/355/GCF_002447355.1_ASM244735v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","CSV11678","SAMN07664827","PRJNA407834","GCA_002446955.1","Complete",4.41138,65.6,"chromosome:NZ_CP023577.1/CP023577.1",,1,4002,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/446/955/GCA_002446955.1_ASM244695v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/446/955/GCF_002446955.1_ASM244695v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","LN3588","SAMN07664864","PRJNA407834","GCA_002447695.1","Complete",4.41138,65.6,"chromosome:NZ_CP023614.1/CP023614.1",,1,4009,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/447/695/GCA_002447695.1_ASM244769v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/447/695/GCF_002447695.1_ASM244769v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","TBDM2489","SAMN07664885","PRJNA407834","GCA_002448115.1","Complete",4.41137,65.6,"chromosome:NZ_CP023635.1/CP023635.1",,1,4009,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/448/115/GCA_002448115.1_ASM244811v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/448/115/GCF_002448115.1_ASM244811v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","LE410","SAMN07664858","PRJNA407834","GCA_002447575.1","Complete",4.41136,65.6,"chromosome:NZ_CP023608.1/CP023608.1",,1,4007,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/447/575/GCA_002447575.1_ASM244757v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/447/575/GCF_002447575.1_ASM244757v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","LN2358","SAMN07664831","PRJNA407834","GCA_002447035.1","Complete",4.41135,65.6,"chromosome:NZ_CP023581.1/CP023581.1",,1,4010,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/447/035/GCA_002447035.1_ASM244703v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/447/035/GCF_002447035.1_ASM244703v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","MDRMA2260","SAMN07664879","PRJNA407834","GCA_002447995.1","Complete",4.41135,65.6,"chromosome:NZ_CP023629.1/CP023629.1",,1,4013,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/447/995/GCA_002447995.1_ASM244799v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/447/995/GCF_002447995.1_ASM244799v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","SLM036","SAMN07664842","PRJNA407834","GCA_002447255.1","Complete",4.41134,65.6,"chromosome:NZ_CP023592.1/CP023592.1",,1,4011,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/447/255/GCA_002447255.1_ASM244725v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/447/255/GCF_002447255.1_ASM244725v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","LN317","SAMN07664860","PRJNA407834","GCA_002447615.1","Complete",4.41134,65.6,"chromosome:NZ_CP023610.1/CP023610.1",,1,4001,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/447/615/GCA_002447615.1_ASM244761v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/447/615/GCF_002447615.1_ASM244761v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","MDRMA701","SAMN07664874","PRJNA407834","GCA_002447895.1","Complete",4.41134,65.6,"chromosome:NZ_CP023624.1/CP023624.1",,1,4013,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/447/895/GCA_002447895.1_ASM244789v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/447/895/GCF_002447895.1_ASM244789v1"
"Mycobacterium tuberculosis variant bovis","Bacteria;Terrabacteria group;Actinobacteria","30","SAMN03257089","PRJNA270004","GCA_001544775.1","Complete",4.33623,65.6,"chromosome:CP010332.1",,1,4196,"2016-02-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/544/775/GCA_001544775.1_ASM154477v1",
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","SLM063","SAMN07664846","PRJNA407834","GCA_002447335.1","Complete",4.41134,65.6,"chromosome:NZ_CP023596.1/CP023596.1",,1,3999,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/447/335/GCA_002447335.1_ASM244733v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/447/335/GCF_002447335.1_ASM244733v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","LN3672","SAMN07664867","PRJNA407834","GCA_002447755.1","Complete",4.41134,65.6,"chromosome:NZ_CP023617.1/CP023617.1",,1,4006,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/447/755/GCA_002447755.1_ASM244775v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/447/755/GCF_002447755.1_ASM244775v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","TBV5362","SAMN07664840","PRJNA407834","GCA_002447215.1","Complete",4.41133,65.6,"chromosome:NZ_CP023590.1/CP023590.1",,1,4012,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/447/215/GCA_002447215.1_ASM244721v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/447/215/GCF_002447215.1_ASM244721v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","LN2978","SAMN07664862","PRJNA407834","GCA_002447655.1","Complete",4.41133,65.6,"chromosome:NZ_CP023612.1/CP023612.1",,1,4012,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/447/655/GCA_002447655.1_ASM244765v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/447/655/GCF_002447655.1_ASM244765v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","LN2900","SAMN07664871","PRJNA407834","GCA_002447835.1","Complete",4.41133,65.6,"chromosome:NZ_CP023621.1/CP023621.1",,1,4010,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/447/835/GCA_002447835.1_ASM244783v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/447/835/GCF_002447835.1_ASM244783v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","LN3584","SAMN07664863","PRJNA407834","GCA_002447675.1","Complete",4.41133,65.6,"chromosome:NZ_CP023613.1/CP023613.1",,1,4009,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/447/675/GCA_002447675.1_ASM244767v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/447/675/GCF_002447675.1_ASM244767v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","LN763","SAMN07664861","PRJNA407834","GCA_002447635.1","Complete",4.41132,65.6,"chromosome:NZ_CP023611.1/CP023611.1",,1,4011,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/447/635/GCA_002447635.1_ASM244763v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/447/635/GCF_002447635.1_ASM244763v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","TBV5000","SAMN07664839","PRJNA407834","GCA_002447195.1","Complete",4.41132,65.6,"chromosome:NZ_CP023589.1/CP023589.1",,1,4010,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/447/195/GCA_002447195.1_ASM244719v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/447/195/GCF_002447195.1_ASM244719v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","TBDM2189","SAMN07664882","PRJNA407834","GCA_002448055.1","Complete",4.41132,65.6,"chromosome:NZ_CP023632.1/CP023632.1",,1,4008,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/448/055/GCA_002448055.1_ASM244805v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/448/055/GCF_002448055.1_ASM244805v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","LN3756","SAMN07664832","PRJNA407834","GCA_002447055.1","Complete",4.41132,65.6,"chromosome:NZ_CP023582.1/CP023582.1",,1,4009,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/447/055/GCA_002447055.1_ASM244705v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/447/055/GCF_002447055.1_ASM244705v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","MDRDM827","SAMN07664872","PRJNA407834","GCA_002447855.1","Complete",4.41132,65.6,"chromosome:NZ_CP023622.1/CP023622.1",,1,4009,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/447/855/GCA_002447855.1_ASM244785v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/447/855/GCF_002447855.1_ASM244785v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","TBDM2487","SAMN07664884","PRJNA407834","GCA_002448095.1","Complete",4.41131,65.6,"chromosome:NZ_CP023634.1/CP023634.1",,1,4009,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/448/095/GCA_002448095.1_ASM244809v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/448/095/GCF_002448095.1_ASM244809v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","CSV5769","SAMN07664825","PRJNA407834","GCA_002446915.1","Complete",4.41131,65.6,"chromosome:NZ_CP023575.1/CP023575.1",,1,4006,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/446/915/GCA_002446915.1_ASM244691v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/446/915/GCF_002446915.1_ASM244691v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","TBV4766","SAMN07664888","PRJNA407834","GCA_002448175.1","Complete",4.41131,65.6,"chromosome:NZ_CP023638.1/CP023638.1",,1,4015,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/448/175/GCA_002448175.1_ASM244817v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/448/175/GCF_002448175.1_ASM244817v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","SLM056","SAMN07664844","PRJNA407834","GCA_002447295.1","Complete",4.41131,65.6,"chromosome:NZ_CP023594.1/CP023594.1",,1,4007,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/447/295/GCA_002447295.1_ASM244729v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/447/295/GCF_002447295.1_ASM244729v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","LN1856","SAMN07664870","PRJNA407834","GCA_002447815.1","Complete",4.4113,65.6,"chromosome:NZ_CP023620.1/CP023620.1",,1,4011,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/447/815/GCA_002447815.1_ASM244781v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/447/815/GCF_002447815.1_ASM244781v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","MDRMA203","SAMN07664873","PRJNA407834","GCA_002447875.1","Complete",4.41129,65.6,"chromosome:NZ_CP023623.1/CP023623.1",,1,4001,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/447/875/GCA_002447875.1_ASM244787v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/447/875/GCF_002447875.1_ASM244787v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","CSV4519","SAMN07664823","PRJNA407834","GCA_002446875.1","Complete",4.41129,65.6,"chromosome:NZ_CP023573.1/CP023573.1",,1,4011,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/446/875/GCA_002446875.1_ASM244687v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/446/875/GCF_002446875.1_ASM244687v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","TBDM2444","SAMN07664883","PRJNA407834","GCA_002448075.1","Complete",4.41128,65.6,"chromosome:NZ_CP023633.1/CP023633.1",,1,4009,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/448/075/GCA_002448075.1_ASM244807v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/448/075/GCF_002448075.1_ASM244807v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","MDRDM260","SAMN07664833","PRJNA407834","GCA_002447075.1","Complete",4.41128,65.6,"chromosome:NZ_CP023583.1/CP023583.1",,1,4006,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/447/075/GCA_002447075.1_ASM244707v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/447/075/GCF_002447075.1_ASM244707v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","CSV4644","SAMN07664824","PRJNA407834","GCA_002446895.1","Complete",4.41127,65.6,"chromosome:NZ_CP023574.1/CP023574.1",,1,4015,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/446/895/GCA_002446895.1_ASM244689v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/446/895/GCF_002446895.1_ASM244689v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","LE103","SAMN07664856","PRJNA407834","GCA_002447535.1","Complete",4.41124,65.6,"chromosome:NZ_CP023606.1/CP023606.1",,1,4008,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/447/535/GCA_002447535.1_ASM244753v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/447/535/GCF_002447535.1_ASM244753v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","CSV9577","SAMN07664851","PRJNA407834","GCA_002447435.1","Complete",4.41123,65.6,"chromosome:NZ_CP023601.1/CP023601.1",,1,4006,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/447/435/GCA_002447435.1_ASM244743v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/447/435/GCF_002447435.1_ASM244743v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","MDRMA2019","SAMN07664877","PRJNA407834","GCA_002447955.1","Complete",4.41123,65.6,"chromosome:NZ_CP023627.1/CP023627.1",,1,4004,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/447/955/GCA_002447955.1_ASM244795v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/447/955/GCF_002447955.1_ASM244795v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","ME1473","SAMN07664837","PRJNA407834","GCA_002447155.1","Complete",4.41122,65.6,"chromosome:NZ_CP023587.1/CP023587.1",,1,4003,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/447/155/GCA_002447155.1_ASM244715v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/447/155/GCF_002447155.1_ASM244715v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","MDRDM627","SAMN07664834","PRJNA407834","GCA_002447095.1","Complete",4.41122,65.6,"chromosome:NZ_CP023584.1/CP023584.1",,1,4001,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/447/095/GCA_002447095.1_ASM244709v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/447/095/GCF_002447095.1_ASM244709v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","LE76","SAMN07664854","PRJNA407834","GCA_002447495.1","Complete",4.41121,65.6,"chromosome:NZ_CP023604.1/CP023604.1",,1,4008,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/447/495/GCA_002447495.1_ASM244749v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/447/495/GCF_002447495.1_ASM244749v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","LE492","SAMN07664829","PRJNA407834","GCA_002446995.1","Complete",4.41121,65.6,"chromosome:NZ_CP023579.1/CP023579.1",,1,4002,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/446/995/GCA_002446995.1_ASM244699v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/446/995/GCF_002446995.1_ASM244699v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","LN55","SAMN07664859","PRJNA407834","GCA_002447595.1","Complete",4.41119,65.6,"chromosome:NZ_CP023609.1/CP023609.1",,1,3996,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/447/595/GCA_002447595.1_ASM244759v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/447/595/GCF_002447595.1_ASM244759v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","CSV10399","SAMN07664826","PRJNA407834","GCA_002446935.1","Complete",4.41118,65.6,"chromosome:NZ_CP023576.1/CP023576.1",,1,4003,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/446/935/GCA_002446935.1_ASM244693v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/446/935/GCF_002446935.1_ASM244693v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","LE486","SAMN07664828","PRJNA407834","GCA_002446975.1","Complete",4.41118,65.6,"chromosome:NZ_CP023578.1/CP023578.1",,1,4003,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/446/975/GCA_002446975.1_ASM244697v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/446/975/GCF_002446975.1_ASM244697v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","TBV4768","SAMN07664889","PRJNA407834","GCA_002448195.1","Complete",4.41117,65.6,"chromosome:NZ_CP023639.1/CP023639.1",,1,3989,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/448/195/GCA_002448195.1_ASM244819v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/448/195/GCF_002448195.1_ASM244819v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","MDRMA1565","SAMN07664876","PRJNA407834","GCA_002447935.1","Complete",4.41116,65.6,"chromosome:NZ_CP023626.1/CP023626.1",,1,3989,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/447/935/GCA_002447935.1_ASM244793v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/447/935/GCF_002447935.1_ASM244793v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","TBDM1506","SAMN07664881","PRJNA407834","GCA_002448035.1","Complete",4.41116,65.6,"chromosome:NZ_CP023631.1/CP023631.1",,1,3998,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/448/035/GCA_002448035.1_ASM244803v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/448/035/GCF_002448035.1_ASM244803v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","MDRDM1098","SAMN07664835","PRJNA407834","GCA_002447115.1","Complete",4.41115,65.6,"chromosome:NZ_CP023585.1/CP023585.1",,1,4007,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/447/115/GCA_002447115.1_ASM244711v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/447/115/GCF_002447115.1_ASM244711v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","TBDM425","SAMN07664838","PRJNA407834","GCA_002447175.1","Complete",4.41114,65.6,"chromosome:NZ_CP023588.1/CP023588.1",,1,4010,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/447/175/GCA_002447175.1_ASM244717v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/447/175/GCF_002447175.1_ASM244717v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","LE371","SAMN07664857","PRJNA407834","GCA_002447555.1","Complete",4.41114,65.6,"chromosome:NZ_CP023607.1/CP023607.1",,1,4006,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/447/555/GCA_002447555.1_ASM244755v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/447/555/GCF_002447555.1_ASM244755v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","SLM060","SAMN07664845","PRJNA407834","GCA_002447315.1","Complete",4.41113,65.6,"chromosome:NZ_CP023595.1/CP023595.1",,1,3987,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/447/315/GCA_002447315.1_ASM244731v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/447/315/GCF_002447315.1_ASM244731v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","MDRMA2491","SAMN07664836","PRJNA407834","GCA_002447135.1","Complete",4.41112,65.6,"chromosome:NZ_CP023586.1/CP023586.1",,1,3986,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/447/135/GCA_002447135.1_ASM244713v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/447/135/GCF_002447135.1_ASM244713v1"
